Wall time,Step,Value
1541571933.3102863,0,0.10000000149011612
1541571956.1597197,1,0.20000000298023224
1541571978.9359238,2,0.3499999940395355
1541572001.818775,3,0.20000000298023224
1541572024.5881214,4,0.30000001192092896
1541572047.3614118,5,0.25
1541572070.1652315,6,0.4000000059604645
1541572092.9563277,7,0.44999998807907104
1541572115.7843735,8,0.5
1541572138.6915066,9,0.4000000059604645
1541572161.487168,10,0.6000000238418579
1541572184.1998696,11,0.6499999761581421
1541572206.9732404,12,0.8999999761581421
1541572229.7394714,13,0.800000011920929
1541572252.4796238,14,0.8500000238418579
1541572275.231279,15,0.75
1541572298.0645022,16,0.75
1541572320.7554932,17,0.8500000238418579
1541572343.4532013,18,0.8999999761581421
1541572366.175286,19,0.75
1541572388.8508575,20,0.6000000238418579
1541572411.5198755,21,0.800000011920929
1541572434.198379,22,0.6499999761581421
1541572456.948641,23,0.800000011920929
1541572479.571566,24,0.800000011920929
1541572502.1299329,25,0.8500000238418579
1541572524.745615,26,0.8500000238418579
1541572547.3569005,27,0.75
1541572569.975568,28,0.8500000238418579
1541572592.6709726,29,0.8999999761581421
1541572615.2405946,30,1.0
1541572637.8251424,31,0.949999988079071
1541572660.4468057,32,0.8999999761581421
1541572683.0673482,33,1.0
1541572705.6317112,34,0.8500000238418579
1541572728.2186217,35,0.8999999761581421
1541572750.9059384,36,0.8999999761581421
1541572773.5102298,37,0.949999988079071
1541572796.130511,38,0.8500000238418579
1541572818.67384,39,0.75
