Wall time,Step,Value
1541571933.310981,0,0.20000000298023224
1541571956.1597993,1,0.30000001192092896
1541571978.9359767,2,0.25
1541572001.818828,3,0.20000000298023224
1541572024.5881815,4,0.25
1541572047.3614738,5,0.4000000059604645
1541572070.165281,6,0.30000001192092896
1541572092.956396,7,0.44999998807907104
1541572115.7844522,8,0.44999998807907104
1541572138.6915655,9,0.4000000059604645
1541572161.4872224,10,0.550000011920929
1541572184.1999288,11,0.550000011920929
1541572206.973296,12,0.550000011920929
1541572229.73952,13,0.6499999761581421
1541572252.4797037,14,0.550000011920929
1541572275.231339,15,0.75
1541572298.0645618,16,0.699999988079071
1541572320.755572,17,0.8500000238418579
1541572343.4532561,18,0.8999999761581421
1541572366.1753418,19,0.800000011920929
1541572388.8509052,20,0.6499999761581421
1541572411.5199335,21,0.699999988079071
1541572434.198437,22,0.800000011920929
1541572456.948715,23,0.8500000238418579
1541572479.5716252,24,0.800000011920929
1541572502.1299868,25,0.8500000238418579
1541572524.7456715,26,0.800000011920929
1541572547.3569553,27,0.800000011920929
1541572569.9756548,28,0.75
1541572592.6710312,29,0.800000011920929
1541572615.2406566,30,0.949999988079071
1541572637.8252234,31,0.949999988079071
1541572660.4468598,32,0.75
1541572683.0674224,33,0.949999988079071
1541572705.63176,34,0.949999988079071
1541572728.218719,35,0.75
1541572750.905993,36,0.949999988079071
1541572773.5102856,37,0.75
1541572796.1305647,38,0.8999999761581421
1541572818.6738863,39,0.8500000238418579
