Wall time,Step,Value
1541571933.3117301,0,0.5
1541571956.1598516,1,0.44999998807907104
1541571978.9360428,2,0.30000001192092896
1541572001.8188818,3,0.3499999940395355
1541572024.588236,4,0.550000011920929
1541572047.361546,5,0.6499999761581421
1541572070.1653469,6,0.6000000238418579
1541572092.9564831,7,0.4000000059604645
1541572115.7845,8,0.3499999940395355
1541572138.6916175,9,0.4000000059604645
1541572161.4872751,10,0.75
1541572184.1999974,11,0.699999988079071
1541572206.9733543,12,0.8500000238418579
1541572229.7395635,13,0.8999999761581421
1541572252.4797523,14,0.699999988079071
1541572275.2314143,15,0.6000000238418579
1541572298.0646143,16,0.6000000238418579
1541572320.7556164,17,0.699999988079071
1541572343.4533136,18,0.8999999761581421
1541572366.1753953,19,0.6499999761581421
1541572388.8509595,20,0.8500000238418579
1541572411.5200145,21,0.949999988079071
1541572434.198521,22,0.949999988079071
1541572456.9487689,23,0.8999999761581421
1541572479.5717113,24,0.8500000238418579
1541572502.130042,25,0.8500000238418579
1541572524.7457478,26,0.8999999761581421
1541572547.3570085,27,0.949999988079071
1541572569.9757283,28,0.699999988079071
1541572592.6711457,29,0.949999988079071
1541572615.2407494,30,1.0
1541572637.8252764,31,0.8999999761581421
1541572660.4469109,32,0.8500000238418579
1541572683.0674756,33,0.949999988079071
1541572705.6318026,34,0.8999999761581421
1541572728.2187748,35,0.75
1541572750.9060514,36,0.75
1541572773.510326,37,1.0
1541572796.130648,38,0.8999999761581421
1541572818.673926,39,0.8999999761581421
