Wall time,Step,Value
1541571933.3124127,0,0.30000001192092896
1541571956.1599083,1,0.3499999940395355
1541571978.93611,2,0.44999998807907104
1541572001.8189402,3,0.4000000059604645
1541572024.5882926,4,0.5
1541572047.3616195,5,0.550000011920929
1541572070.16542,6,0.6000000238418579
1541572092.9565425,7,0.699999988079071
1541572115.7845423,8,0.75
1541572138.6917117,9,0.699999988079071
1541572161.4873362,10,0.75
1541572184.2000484,11,0.8999999761581421
1541572206.9734263,12,0.550000011920929
1541572229.7396212,13,0.5
1541572252.4798021,14,0.6000000238418579
1541572275.2314832,15,0.6000000238418579
1541572298.0646672,16,0.6499999761581421
1541572320.7556624,17,0.8999999761581421
1541572343.4533758,18,0.800000011920929
1541572366.1754503,19,0.800000011920929
1541572388.8510141,20,0.800000011920929
1541572411.5200703,21,0.75
1541572434.1985822,22,0.8500000238418579
1541572456.9488497,23,0.949999988079071
1541572479.571778,24,0.949999988079071
1541572502.1300974,25,0.8999999761581421
1541572524.7458086,26,0.8500000238418579
1541572547.3570626,27,0.8999999761581421
1541572569.975789,28,0.800000011920929
1541572592.6712015,29,0.8999999761581421
1541572615.2408056,30,0.8999999761581421
1541572637.8253307,31,1.0
1541572660.4469647,32,1.0
1541572683.067529,33,0.8999999761581421
1541572705.6318521,34,0.8999999761581421
1541572728.2188475,35,0.8999999761581421
1541572750.9061058,36,0.949999988079071
1541572773.5103714,37,0.8999999761581421
1541572796.130725,38,0.800000011920929
1541572818.6739807,39,0.800000011920929
