Wall time,Step,Value
1541571933.3095694,0,0.25
1541571956.1596,1,0.3100000023841858
1541571978.935851,2,0.33000001311302185
1541572001.8187244,3,0.27000001072883606
1541572024.5880585,4,0.375
1541572047.361304,5,0.4350000023841858
1541572070.1651692,6,0.4500000476837158
1541572092.9562643,7,0.49000000953674316
1541572115.7843125,8,0.5049999952316284
1541572138.691444,9,0.46000003814697266
1541572161.4871044,10,0.6450000405311584
1541572184.1997945,11,0.6800000071525574
1541572206.9731784,12,0.7150000333786011
1541572229.739381,13,0.7150000333786011
1541572252.4795604,14,0.6800000667572021
1541572275.2312164,15,0.690000057220459
1541572298.0644112,16,0.6850000619888306
1541572320.7554147,17,0.8300000429153442
1541572343.4531283,18,0.8800000548362732
1541572366.1752238,19,0.7550000548362732
1541572388.8507981,20,0.7050000429153442
1541572411.5198092,21,0.7899999618530273
1541572434.1983054,22,0.7950000166893005
1541572456.948548,23,0.8650000095367432
1541572479.5714908,24,0.8400000333786011
1541572502.129872,25,0.8600000739097595
1541572524.7455432,26,0.8450000286102295
1541572547.35685,27,0.8349999785423279
1541572569.975471,28,0.7800000309944153
1541572592.6708817,29,0.8800000548362732
1541572615.2405114,30,0.9650000333786011
1541572637.8250632,31,0.949999988079071
1541572660.446743,32,0.8650000095367432
1541572683.067273,33,0.9550000429153442
1541572705.6316245,34,0.9000000357627869
1541572728.218512,35,0.824999988079071
1541572750.9058712,36,0.8950000405311584
1541572773.5101647,37,0.89000004529953
1541572796.1304574,38,0.8650000691413879
1541572818.6737792,39,0.8200000524520874
